Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-23 00:00:00-04:00,133.28847853001113,133.50783897375646,131.6385893811115,132.84024047851562,18034600,0.0,0.0
2019-07-24 00:00:00-04:00,132.4683226824389,134.2231337741517,132.4206495407532,134.2040557861328,20738300,0.0,0.0
2019-07-25 00:00:00-04:00,133.92748606308098,134.09915886380574,132.86889775962058,133.6986083984375,18356900,0.0,0.0
2019-07-26 00:00:00-04:00,133.8702479575411,135.119586876776,133.80349683208647,134.7953338623047,19037600,0.0,0.0
2019-07-29 00:00:00-04:00,134.9479482484364,134.95747996710259,132.91657164988732,134.4997100830078,16605900,0.0,0.0
2019-07-30 00:00:00-04:00,133.6509290265699,134.68092223835467,133.32667594663113,133.85121154785156,16846500,0.0,0.0
2019-07-31 00:00:00-04:00,133.83213134553083,133.98472616377197,128.82522847090584,129.9601287841797,38598800,0.0,0.0
2019-08-01 00:00:00-04:00,130.656305993656,134.41386923891238,130.5895403120872,131.66722106933594,40557500,0.0,0.0
2019-08-02 00:00:00-04:00,131.6958284938089,131.91518897038563,128.99686806464217,130.56092834472656,30791600,0.0,0.0
2019-08-05 00:00:00-04:00,127.12764436527884,127.72846278270656,124.7243270388418,126.08811950683594,42749600,0.0,0.0
2019-08-06 00:00:00-04:00,127.60448898755409,129.39742702794126,127.04181201084327,128.45327758789062,32696700,0.0,0.0
2019-08-07 00:00:00-04:00,127.59494877826788,129.36882346632314,125.72571324596849,129.01596069335938,33414500,0.0,0.0
2019-08-08 00:00:00-04:00,130.27481440488452,132.55414612525274,129.63582559780693,132.45877075195312,27496500,0.0,0.0
2019-08-09 00:00:00-04:00,132.19177068574552,132.9261205000734,130.14133061007763,131.3334503173828,23466700,0.0,0.0
2019-08-12 00:00:00-04:00,130.72304769139936,131.4764607248922,128.97778319987233,129.50230407714844,20484300,0.0,0.0
2019-08-13 00:00:00-04:00,129.75030866420065,132.37297195580535,128.74892522423042,132.18223571777344,25154600,0.0,0.0
2019-08-14 00:00:00-04:00,130.47898830604376,131.01483396879027,127.90500183255858,128.20162963867188,32527300,0.46,0.0
2019-08-15 00:00:00-04:00,128.59395885108174,128.77576677014392,126.5462544481975,127.9145736694336,28074400,0.0,0.0
2019-08-16 00:00:00-04:00,129.06285209465193,130.57471104518996,128.90974912734876,130.25894165039062,24449100,0.0,0.0
2019-08-19 00:00:00-04:00,131.90475179098547,132.57455896997823,130.98614865929432,132.4405975341797,24355700,0.0,0.0
2019-08-20 00:00:00-04:00,132.24918833818325,132.72762398652227,131.32102201234974,131.34014892578125,21170800,0.0,0.0
2019-08-21 00:00:00-04:00,132.57454415322917,133.4740056647948,132.04826192830248,132.80418395996094,14970300,0.0,0.0
